"Geneva, NY","Geneva, NY Urban Cluster",133,200,NY,12/23/2016
"Parowan, UT","Parowan, UT Urban Cluster",11,17,UT,12/23/2016
"Cedar City, UT","Cedar City, UT Urban Cluster",147,222,UT,12/23/2016
"Piggott, AR","Piggott, AR Urban Cluster",15,23,AR,12/23/2016
"Corning, AR","Corning, AR Urban Cluster",14,21,AR,12/23/2016
"Warren, AR","Warren, AR Urban Cluster",26,39,AR,12/23/2016
"Rexburg, ID","Rexburg, ID Urban Cluster",119,180,ID,12/23/2016
"Ontario, OR","Ontario, OR--ID Urban Cluster",113,171,OR,12/23/2016
"Sequim, WA","Sequim, WA Urban Cluster",85,129,WA,12/23/2016
"Port Angeles, WA","Port Angeles, WA Urban Cluster",101,153,WA,12/23/2016
"Forks, WA","Forks, WA Urban Cluster",17,26,WA,12/23/2016
"Santa Rosa, NM","Santa Rosa, NM Urban Cluster",12,18,NM,12/23/2016
"Morgan, UT","Morgan, UT Urban Cluster",16,24,UT,12/23/2016
"Prineville, OR","Prineville, OR Urban Cluster",48,73,OR,12/23/2016
"Shady Cove, OR","Shady Cove, OR Urban Cluster",15,23,OR,12/23/2016
"Medford, OR","Medford, OR Urbanized Area",683,1030,OR,12/23/2016
"Grants Pass, OR","Grants Pass, OR Urbanized Area",224,338,OR,12/23/2016
"Delhi, NY","Delhi, NY Urban Cluster",13,20,NY,12/23/2016
"Walton, NY","Walton, NY Urban Cluster",14,21,NY,12/23/2016
"Sidney, NY","Sidney, NY Urban Cluster",25,37,NY,12/23/2016
"Oneonta, NY","Oneonta, NY Urban Cluster",76,115,NY,12/23/2016
"Moodus, CT","Moodus, CT Urban Cluster",12,18,CT,12/23/2016
"New Haven, CT","New Haven, CT Urbanized Area",2493,3763,CT,12/23/2016
"Lake Pocotopaug--East Hampton, CT","Lake Pocotopaug--East Hampton, CT Urban Cluster",42,63,CT,12/23/2016
"Hamburg, AR","Hamburg, AR Urban Cluster",12,18,AR,12/23/2016
"Crossett, AR","Crossett, AR Urban Cluster",35,52,AR,12/23/2016
"Arkadelphia, AR","Arkadelphia, AR Urban Cluster",46,70,AR,12/23/2016
"Saratoga Springs, NY","Saratoga Springs, NY Urbanized Area",284,429,NY,12/23/2016
"Glens Falls, NY","Glens Falls, NY Urbanized Area",290,437,NY,12/23/2016
"Corinth, NY","Corinth, NY Urban Cluster",18,27,NY,12/23/2016
"Montesano--Elma, WA","Montesano--Elma, WA Urban Cluster",38,57,WA,12/23/2016
"Ocean Shores, WA","Ocean Shores, WA Urban Cluster",23,35,WA,12/23/2016
"Aberdeen, WA","Aberdeen, WA Urban Cluster",132,200,WA,12/23/2016
"Hugo, OK","Hugo, OK Urban Cluster",22,34,OK,12/23/2016
"Madill, OK","Madill, OK Urban Cluster",20,30,OK,12/23/2016
"Fargo, ND","Fargo, ND--MN Urbanized Area",783,1181,ND,12/23/2016
"Star, ID","Star, ID Urban Cluster",25,38,ID,12/23/2016
"Nampa, ID","Nampa, ID Urbanized Area",671,1013,ID,12/23/2016
"Kuna, ID","Kuna, ID Urban Cluster",67,102,ID,12/23/2016
"Boise City, ID","Boise City, ID Urbanized Area",1549,2338,ID,12/23/2016
"Dillon, MT","Dillon, MT Urban Cluster",20,31,MT,12/23/2016
"Hardin, MT","Hardin, MT Urban Cluster",16,24,MT,12/23/2016
"Pocatello, ID","Pocatello, ID Urbanized Area",309,467,ID,12/23/2016
"Kilauea, HI","Kilauea, HI Urban Cluster",12,17,HI,12/23/2016
"Princeville, HI","Princeville, HI Urban Cluster",12,18,HI,12/23/2016
"Lihue, HI","Lihue, HI Urban Cluster",62,93,HI,12/23/2016
"Kekaha, HI","Kekaha, HI Urban Cluster",24,36,HI,12/23/2016
"Kapaa, HI","Kapaa, HI Urban Cluster",84,127,HI,12/23/2016
"Kalaheo, HI","Kalaheo, HI Urban Cluster",66,99,HI,12/23/2016
"Pierre Part, LA","Pierre Part, LA Urban Cluster",17,26,LA,12/23/2016
"Rayne, LA","Rayne, LA Urban Cluster",42,63,LA,12/23/2016
